match_id,team,opponent,date,hour,stage,stage_order,goals_for,goals_against,goal_diff,result,points,possession,total attempts,on target attempts,attempts inside the penalty area,attempts outside the penalty area,passes,passes completed,crosses,crosses completed,switches of play completed,corners,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,forced turnovers,defensive pressures applied,pass_completion_rate,cross_completion_rate,shot_accuracy,goals_per_attempt,goals_per_on_target,goals_per_completed_pass
19,ECUADOR,NETHERLANDS,25 NOV 2022,17 : 00,Group A,1,1,1,0,D,1,39.0,13.0,5.0,8.0,5.0,425.0,345.0,22.0,4.0,2.0,5.0,155.0,84.0,22.0,10.0,52.0,279.0,0.8117647058823529,0.18181818181818182,0.38461538461538464,0.07692307692307693,0.2,0.002898550724637681
20,ENGLAND,UNITED STATES,25 NOV 2022,20 : 00,Group B,1,0,0,0,D,1,51.0,8.0,3.0,6.0,2.0,550.0,488.0,13.0,4.0,9.0,3.0,208.0,147.0,23.0,10.0,52.0,266.0,0.8872727272727273,0.3076923076923077,0.375,0.0,0.0,0.0
20,UNITED STATES,ENGLAND,25 NOV 2022,20 : 00,Group B,1,0,0,0,D,1,40.0,10.0,2.0,6.0,4.0,427.0,368.0,16.0,2.0,2.0,7.0,143.0,88.0,15.0,5.0,61.0,350.0,0.8618266978922716,0.125,0.2,0.0,0.0,0.0
21,TUNISIA,AUSTRALIA,26 NOV 2022,11 : 00,Group D,1,0,1,-1,L,0,50.0,13.0,4.0,9.0,4.0,501.0,396.0,23.0,5.0,6.0,5.0,200.0,109.0,23.0,11.0,81.0,217.0,0.7904191616766467,0.21739130434782608,0.3076923076923077,0.0,0.0,0.0
21,AUSTRALIA,TUNISIA,26 NOV 2022,11 : 00,Group D,1,1,0,1,W,3,31.0,8.0,2.0,5.0,3.0,334.0,239.0,23.0,4.0,2.0,2.0,171.0,91.0,19.0,10.0,88.0,273.0,0.7155688622754491,0.17391304347826086,0.25,0.125,0.5,0.0041841004184100415
22,POLAND,SAUDI ARABIA,26 NOV 2022,14 : 00,Group C,1,2,0,2,W,3,30.0,8.0,3.0,8.0,0.0,303.0,236.0,19.0,8.0,5.0,4.0,150.0,84.0,22.0,12.0,69.0,329.0,0.7788778877887789,0.42105263157894735,0.375,0.25,0.6666666666666666,0.00847457627118644
22,SAUDI ARABIA,POLAND,26 NOV 2022,14 : 00,Group C,1,0,2,-2,L,0,57.0,16.0,5.0,9.0,7.0,560.0,494.0,24.0,4.0,13.0,5.0,205.0,153.0,27.0,19.0,53.0,173.0,0.8821428571428571,0.16666666666666666,0.3125,0.0,0.0,0.0
23,FRANCE,DENMARK,26 NOV 2022,17 : 00,Group D,1,2,1,1,W,3,44.0,21.0,6.0,16.0,5.0,503.0,437.0,23.0,12.0,7.0,6.0,155.0,105.0,16.0,12.0,79.0,269.0,0.8687872763419483,0.5217391304347826,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.004576659038901602
23,DENMARK,FRANCE,26 NOV 2022,17 : 00,Group D,1,1,2,-1,L,0,44.0,10.0,2.0,5.0,5.0,537.0,473.0,18.0,4.0,14.0,4.0,173.0,132.0,23.0,15.0,61.0,282.0,0.8808193668528864,0.2222222222222222,0.2,0.1,0.5,0.0021141649048625794
24,ARGENTINA,MEXICO,26 NOV 2022,20 : 00,Group C,1,2,0,2,W,3,50.0,5.0,2.0,2.0,3.0,533.0,464.0,14.0,2.0,3.0,4.0,150.0,100.0,10.0,5.0,63.0,220.0,0.8705440900562852,0.14285714285714285,0.4,0.4,1.0,0.004310344827586207
24,MEXICO,ARGENTINA,26 NOV 2022,20 : 00,Group C,1,0,2,-2,L,0,36.0,4.0,1.0,1.0,3.0,356.0,287.0,17.0,4.0,2.0,2.0,127.0,66.0,13.0,5.0,79.0,327.0,0.8061797752808989,0.23529411764705882,0.25,0.0,0.0,0.0
25,JAPAN,COSTA RICA,27 NOV 2022,11 : 00,Group E,1,0,1,-1,L,0,48.0,14.0,3.0,7.0,7.0,575.0,510.0,17.0,1.0,2.0,5.0,158.0,95.0,22.0,7.0,47.0,300.0,0.8869565217391304,0.058823529411764705,0.21428571428571427,0.0,0.0,0.0
25,COSTA RICA,JAPAN,27 NOV 2022,11 : 00,Group E,1,1,0,1,W,3,39.0,4.0,1.0,1.0,3.0,444.0,371.0,5.0,0.0,7.0,0.0,154.0,85.0,4.0,0.0,66.0,294.0,0.8355855855855856,0.0,0.25,0.25,1.0,0.0026954177897574125
26,BELGIUM,MOROCCO,27 NOV 2022,14 : 00,Group F,1,0,2,-2,L,0,56.0,10.0,4.0,5.0,5.0,671.0,598.0,19.0,3.0,6.0,9.0,149.0,104.0,13.0,3.0,38.0,194.0,0.8912071535022354,0.15789473684210525,0.4,0.0,0.0,0.0
26,MOROCCO,BELGIUM,27 NOV 2022,14 : 00,Group F,1,2,0,2,W,3,32.0,11.0,4.0,6.0,5.0,317.0,275.0,9.0,4.0,10.0,1.0,125.0,89.0,11.0,8.0,78.0,360.0,0.8675078864353313,0.4444444444444444,0.36363636363636365,0.18181818181818182,0.5,0.007272727272727273
27,CROATIA,CANADA,27 NOV 2022,17 : 00,Group F,1,4,1,3,W,3,41.0,13.0,10.0,9.0,4.0,462.0,391.0,22.0,5.0,6.0,5.0,193.0,124.0,24.0,10.0,87.0,347.0,0.8463203463203464,0.22727272727272727,0.7692307692307693,0.3076923076923077,0.4,0.010230179028132993
27,CANADA,CROATIA,27 NOV 2022,17 : 00,Group F,1,1,4,-3,L,0,46.0,9.0,2.0,2.0,7.0,511.0,434.0,15.0,5.0,7.0,2.0,201.0,134.0,15.0,6.0,72.0,316.0,0.8493150684931506,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.5,0.002304147465437788
28,SPAIN,GERMANY,27 NOV 2022,20 : 00,Group E,1,1,1,0,D,1,56.0,7.0,3.0,3.0,4.0,647.0,565.0,9.0,2.0,9.0,6.0,186.0,146.0,19.0,13.0,79.0,275.0,0.8732612055641422,0.2222222222222222,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.0017699115044247787
28,GERMANY,SPAIN,27 NOV 2022,20 : 00,Group E,1,1,1,0,D,1,33.0,10.0,4.0,7.0,3.0,352.0,281.0,13.0,1.0,2.0,5.0,143.0,83.0,17.0,7.0,101.0,387.0,0.7982954545454546,0.07692307692307693,0.4,0.1,0.25,0.0035587188612099642
29,CAMEROON,SERBIA,28 NOV 2022,11 : 00,Group G,1,3,3,0,D,1,38.0,13.0,8.0,9.0,4.0,364.0,271.0,20.0,1.0,5.0,4.0,173.0,78.0,22.0,12.0,83.0,285.0,0.7445054945054945,0.05,0.6153846153846154,0.23076923076923078,0.375,0.01107011070110701
29,SERBIA,CAMEROON,28 NOV 2022,11 : 00,Group G,1,3,3,0,D,1,49.0,16.0,6.0,11.0,5.0,513.0,433.0,23.0,4.0,5.0,3.0,184.0,122.0,22.0,12.0,81.0,234.0,0.8440545808966862,0.17391304347826086,0.375,0.1875,0.5,0.006928406466512702
30,KOREA REPUBLIC,GHANA,28 NOV 2022,14 : 00,Group H,1,2,3,-1,L,0,53.0,21.0,6.0,15.0,6.0,540.0,477.0,46.0,16.0,16.0,12.0,201.0,148.0,24.0,19.0,53.0,220.0,0.8833333333333333,0.34782608695652173,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.0041928721174004195
30,GHANA,KOREA REPUBLIC,28 NOV 2022,14 : 00,Group H,1,3,2,1,W,3,32.0,8.0,3.0,7.0,1.0,319.0,260.0,13.0,4.0,3.0,5.0,122.0,66.0,12.0,5.0,75.0,324.0,0.8150470219435737,0.3076923076923077,0.375,0.375,1.0,0.011538461538461539
31,BRAZIL,SWITZERLAND,28 NOV 2022,17 : 00,Group G,1,1,0,1,W,3,51.0,9.0,5.0,6.0,3.0,565.0,498.0,26.0,3.0,6.0,8.0,164.0,114.0,20.0,11.0,85.0,282.0,0.8814159292035398,0.11538461538461539,0.5555555555555556,0.1111111111111111,0.2,0.002008032128514056
31,SWITZERLAND,BRAZIL,28 NOV 2022,17 : 00,Group G,1,0,1,-1,L,0,40.0,4.0,0.0,2.0,2.0,488.0,415.0,11.0,3.0,2.0,3.0,173.0,100.0,17.0,4.0,80.0,344.0,0.8504098360655737,0.2727272727272727,0.0,0.0,0.0,0.0
32,PORTUGAL,URUGUAY,28 NOV 2022,20 : 00,Group H,1,2,0,2,W,3,53.0,14.0,4.0,4.0,10.0,596.0,517.0,16.0,4.0,9.0,6.0,170.0,112.0,11.0,7.0,68.0,226.0,0.8674496644295302,0.25,0.2857142857142857,0.14285714285714285,0.5,0.0038684719535783366
32,URUGUAY,PORTUGAL,28 NOV 2022,20 : 00,Group H,1,0,2,-2,L,0,35.0,10.0,3.0,6.0,4.0,390.0,306.0,18.0,5.0,2.0,2.0,150.0,86.0,17.0,11.0,81.0,362.0,0.7846153846153846,0.2777777777777778,0.3,0.0,0.0,0.0
33,NETHERLANDS,QATAR,29 NOV 2022,16 : 00,Group A,1,2,0,2,W,3,54.0,13.0,4.0,10.0,3.0,795.0,740.0,11.0,1.0,1.0,4.0,185.0,165.0,13.0,10.0,62.0,319.0,0.9308176100628931,0.09090909090909091,0.3076923076923077,0.15384615384615385,0.5,0.002702702702702703
33,QATAR,NETHERLANDS,29 NOV 2022,16 : 00,Group A,1,0,2,-2,L,0,38.0,6.0,4.0,2.0,4.0,459.0,394.0,16.0,4.0,10.0,2.0,161.0,107.0,15.0,10.0,52.0,322.0,0.8583877995642701,0.25,0.6666666666666666,0.0,0.0,0.0
34,ECUADOR,SENEGAL,29 NOV 2022,16 : 00,Group A,1,1,2,-1,L,0,51.0,8.0,4.0,5.0,3.0,432.0,353.0,19.0,6.0,1.0,3.0,146.0,77.0,10.0,2.0,59.0,190.0,0.8171296296296297,0.3157894736842105,0.5,0.125,0.25,0.0028328611898017
34,SENEGAL,ECUADOR,29 NOV 2022,16 : 00,Group A,1,2,1,1,W,3,32.0,15.0,5.0,11.0,4.0,269.0,198.0,20.0,5.0,6.0,6.0,153.0,84.0,20.0,12.0,62.0,243.0,0.7360594795539034,0.25,0.3333333333333333,0.13333333333333333,0.4,0.010101010101010102
35,WALES,ENGLAND,29 NOV 2022,20 : 00,Group B,1,0,3,-3,L,0,33.0,7.0,1.0,1.0,6.0,325.0,261.0,4.0,1.0,1.0,1.0,104.0,55.0,4.0,1.0,49.0,328.0,0.803076923076923,0.25,0.14285714285714285,0.0,0.0,0.0
35,ENGLAND,WALES,29 NOV 2022,20 : 00,Group B,1,3,0,3,W,3,58.0,17.0,7.0,13.0,4.0,588.0,529.0,17.0,7.0,6.0,6.0,167.0,131.0,13.0,8.0,56.0,167.0,0.8996598639455783,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.42857142857142855,0.005671077504725898
36,IRAN,UNITED STATES,29 NOV 2022,20 : 00,Group B,1,0,1,-1,L,0,42.0,6.0,2.0,5.0,1.0,463.0,379.0,18.0,3.0,11.0,1.0,195.0,102.0,23.0,8.0,63.0,295.0,0.8185745140388769,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0
36,UNITED STATES,IRAN,29 NOV 2022,20 : 00,Group B,1,1,0,1,W,3,45.0,12.0,5.0,8.0,4.0,470.0,413.0,22.0,2.0,8.0,5.0,185.0,133.0,27.0,16.0,74.0,302.0,0.8787234042553191,0.09090909090909091,0.4166666666666667,0.08333333333333333,0.2,0.002421307506053269
37,AUSTRALIA,DENMARK,30 NOV 2022,16 : 00,Group D,1,1,0,1,W,3,24.0,8.0,4.0,3.0,5.0,286.0,187.0,11.0,2.0,1.0,2.0,166.0,81.0,17.0,7.0,90.0,341.0,0.6538461538461539,0.18181818181818182,0.5,0.125,0.25,0.0053475935828877
37,DENMARK,AUSTRALIA,30 NOV 2022,16 : 00,Group D,1,0,1,-1,L,0,60.0,14.0,3.0,11.0,3.0,650.0,567.0,32.0,5.0,9.0,6.0,241.0,172.0,21.0,17.0,74.0,161.0,0.8723076923076923,0.15625,0.21428571428571427,0.0,0.0,0.0
38,TUNISIA,FRANCE,30 NOV 2022,16 : 00,Group D,1,1,0,1,W,3,30.0,5.0,3.0,2.0,3.0,328.0,266.0,27.0,4.0,4.0,7.0,153.0,96.0,21.0,7.0,68.0,400.0,0.8109756097560976,0.14814814814814814,0.6,0.2,0.3333333333333333,0.0037593984962406013
38,FRANCE,TUNISIA,30 NOV 2022,16 : 00,Group D,1,0,1,-1,L,0,56.0,9.0,3.0,4.0,5.0,636.0,566.0,20.0,5.0,3.0,8.0,138.0,99.0,10.0,4.0,80.0,202.0,0.889937106918239,0.25,0.3333333333333333,0.0,0.0,0.0
39,POLAND,ARGENTINA,30 NOV 2022,20 : 00,Group C,1,0,2,-2,L,0,24.0,4.0,0.0,2.0,2.0,321.0,261.0,5.0,2.0,8.0,1.0,117.0,66.0,5.0,1.0,67.0,438.0,0.8130841121495327,0.4,0.0,0.0,0.0,0.0
39,ARGENTINA,POLAND,30 NOV 2022,20 : 00,Group C,1,2,0,2,W,3,67.0,25.0,13.0,21.0,4.0,862.0,814.0,22.0,5.0,11.0,9.0,214.0,188.0,25.0,19.0,48.0,141.0,0.9443155452436195,0.22727272727272727,0.52,0.08,0.15384615384615385,0.002457002457002457
40,SAUDI ARABIA,MEXICO,30 NOV 2022,20 : 00,Group C,1,1,2,-1,L,0,29.0,10.0,2.0,6.0,4.0,297.0,197.0,9.0,2.0,1.0,1.0,178.0,86.0,17.0,5.0,82.0,269.0,0.6632996632996633,0.2222222222222222,0.2,0.1,0.5,0.005076142131979695
40,MEXICO,SAUDI ARABIA,30 NOV 2022,20 : 00,Group C,1,2,1,1,W,3,55.0,25.0,10.0,10.0,15.0,412.0,336.0,34.0,6.0,4.0,8.0,198.0,121.0,33.0,16.0,76.0,229.0,0.8155339805825242,0.17647058823529413,0.4,0.08,0.2,0.005952380952380952
41,CROATIA,BELGIUM,01 DEC 2022,16 : 00,Group F,1,0,0,0,D,1,43.0,11.0,4.0,7.0,4.0,578.0,504.0,24.0,6.0,18.0,2.0,204.0,159.0,23.0,17.0,70.0,328.0,0.8719723183391004,0.25,0.36363636363636365,0.0,0.0,0.0
41,BELGIUM,CROATIA,01 DEC 2022,16 : 00,Group F,1,0,0,0,D,1,47.0,15.0,4.0,12.0,3.0,596.0,531.0,24.0,8.0,4.0,4.0,177.0,115.0,26.0,14.0,68.0,346.0,0.8909395973154363,0.3333333333333333,0.26666666666666666,0.0,0.0,0.0
42,CANADA,MOROCCO,01 DEC 2022,16 : 00,Group F,1,1,2,-1,L,0,52.0,5.0,0.0,4.0,1.0,539.0,472.0,20.0,4.0,3.0,6.0,153.0,91.0,21.0,8.0,66.0,224.0,0.87569573283859,0.2,0.0,0.2,0.0,0.00211864406779661
42,MOROCCO,CANADA,01 DEC 2022,16 : 00,Group F,1,2,1,1,W,3,36.0,7.0,2.0,4.0,3.0,384.0,308.0,7.0,1.0,14.0,2.0,147.0,85.0,16.0,7.0,72.0,324.0,0.8020833333333334,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.0,0.006493506493506494
43,JAPAN,SPAIN,01 DEC 2022,20 : 00,Group E,1,2,1,1,W,3,14.0,6.0,3.0,4.0,2.0,225.0,167.0,6.0,3.0,2.0,0.0,104.0,57.0,14.0,8.0,85.0,637.0,0.7422222222222222,0.5,0.5,0.3333333333333333,0.6666666666666666,0.011976047904191617
43,SPAIN,JAPAN,01 DEC 2022,20 : 00,Group E,1,1,2,-1,L,0,78.0,14.0,5.0,7.0,7.0,1070.0,992.0,20.0,2.0,9.0,2.0,190.0,140.0,21.0,15.0,49.0,150.0,0.9271028037383178,0.1,0.35714285714285715,0.07142857142857142,0.2,0.0010080645161290322
